name,category,status,flags,serving_label,serving_grams,calories,protein_g,carbs_g,fat_g,fibre_g,sodium_mg,sugar_g,confidence
Vietnamese grilled pork skewers,Vietnamese,succeeded,,"1 serve, 4 skewers (~200g)",200,380,34,12,22,0.5,780,9,medium
Bo luc lac,Vietnamese,succeeded,,1 serve (~400g),400,520,38,20,31,2.5,980,6,medium
Vietnamese caramelised fish,Vietnamese,succeeded,,"1 serve (~250g incl. sauce, no rice)",250,320,28,18,14,0.5,950,15,medium
Ca kho to,Vietnamese,succeeded,,1 serve (~250g including sauce),250,340,26,14,19,0.5,980,11,medium
Vietnamese chicken curry,Vietnamese,succeeded,,"1 serve (~450g, with rice)",450,620,32,62,28,4,980,8,medium
Vietnamese sticky rice,Vietnamese,succeeded,,1 serve (~300g),300,480,10,78,14,2,380,3,medium
Xoi,Vietnamese,succeeded,,1 serve (~250g),250,400,8,68,11,2,300,6,medium
Vietnamese iced coffee,Vietnamese,succeeded,,1 glass (~250ml),250,220,4.5,26,11,0,40,25,medium
Vietnamese fried rice,Vietnamese,succeeded,,1 serve (~350g),350,520,18.5,65,20,3.5,950,5,medium
Vietnamese seafood noodle soup,Vietnamese,succeeded,,1 serve (~550g),550,420,28,55,9,3,1450,5,medium
Hu tieu,Vietnamese,succeeded,,1 bowl (~500g),500,420,22,55,11,3,1450,5,medium
Vietnamese beef noodle soup,Vietnamese,succeeded,,1 bowl (~600g),600,480,28,65,10,3,1800,6,medium
Goi cuon,Vietnamese,succeeded,,2 rolls (~180g) with dipping sauce,180,200,10.5,30,4.5,2.5,620,6,medium
Cha gio,Vietnamese,succeeded,,4 rolls (~160g),160,340,12,28,20,2,620,3,medium
Vietnamese grilled chicken,Vietnamese,succeeded,,"1 serve (~300g, 2 pieces with sauce)",300,480,40,18,27,1,890,14,medium
Vietnamese meatballs,Vietnamese,succeeded,LOW_CONFIDENCE,"1 serve (~5-6 meatballs with sauce, ~300g)",300,420,28,12,29,1.5,950,5,low
Bun rieu,Vietnamese,succeeded,,1 bowl (~550g),550,480,24,62,15,3.5,1450,8,medium
Vietnamese pork belly,Vietnamese,succeeded,,1 serve (~300g incl. rice),300,620,24,55,34,1.5,980,12,medium
Vietnamese omelette,Vietnamese,succeeded,,1 serve (~280g),280,420,22,12,31,2,780,4,medium
Vietnamese salad rolls,Vietnamese,succeeded,,2 rolls (~150g) with dipping sauce,150,180,9,27,4,2,480,6,medium
Banh mi with pork,Vietnamese,succeeded,,1 roll (~350g),350,550,24,65,21,3.5,1150,9,medium
Banh mi with chicken,Vietnamese,succeeded,,1 roll (~350g),350,550,28,62,20,4,1150,10,medium
Banh mi with tofu,Vietnamese,succeeded,,1 roll (~250g),250,430,14,55,17,4.5,780,9,medium
Vietnamese noodle bowl with prawns,Vietnamese,succeeded,,1 serve (~450g),450,480,26,68,11,4.5,980,14,medium
Chicken katsu curry,Japanese,succeeded,,"1 serve (~500g, incl. rice)",500,820,33,98,31,4.5,1250,12,medium
Pork katsu curry,Japanese,succeeded,,"1 serve (~500g, with rice)",500,850,32,100,34,5,1400,14,medium
Katsu curry,Japanese,succeeded,,1 serve (~500g),500,780,32,95,30,5,1100,12,medium
Sushi rolls,Japanese,succeeded,,"1 serve (~8 pieces, 250g)",250,380,10,70,6,3,700,8,medium
California roll,Japanese,succeeded,,"1 serve (~8 pieces, ~250g)",250,380,9,62,10,3,620,8,medium
Salmon nigiri,Japanese,succeeded,,2 pieces (~70g),70,100,6.5,15.5,1.6,0.4,220,1.5,high
Tuna nigiri,Japanese,succeeded,,2 pieces (~60g),60,80,6.5,11.5,0.6,0.3,220,1.5,medium
Sashimi platter,Japanese,succeeded,,1 serve (~250g),250,320,48,5,11,0.5,480,2,medium
Chicken teriyaki,Japanese,succeeded,,"1 serve (~350g, with rice)",350,480,32,55,13,2.5,950,15,medium
Salmon teriyaki,Japanese,succeeded,,"1 serve (~250g salmon with sauce, plus rice)",400,560,38,55,19,2,950,14,medium
Beef teriyaki,Japanese,succeeded,,"1 serve (~350g, with rice)",350,520,32,55,17,2.5,980,15,medium
Ramen,Japanese,succeeded,,1 bowl (~600g),600,550,25,65,20,4,2000,5,medium
Tonkotsu ramen,Japanese,succeeded,,1 bowl (~650g),650,650,30,70,27,3,2400,5,medium
Miso ramen,Japanese,succeeded,,1 bowl (~650g),650,550,24,65,20,4,2200,6,medium
Shoyu ramen,Japanese,succeeded,,1 bowl (~600g),600,480,22,60,16,3,2200,5,medium
Chicken ramen,Japanese,succeeded,,1 bowl (~600g),600,550,32,62,18,3.5,1800,5,medium
Udon noodle soup,Japanese,succeeded,,1 bowl (~550g),550,380,14,62,8,3.5,1850,4,medium
Soba noodles,Japanese,succeeded,,1 serve (~350g),350,380,14.5,72,4,4.5,950,4,medium
Yakisoba,Japanese,succeeded,,1 serve (~350g),350,480,16.5,62,17,4.5,1350,8.5,medium
Yakitori skewers,Japanese,succeeded,,3 skewers (~150g),150,260,24,10,14,0.5,620,8,medium
Gyoza,Japanese,succeeded,,"1 serve (6 pieces, ~180g)",180,380,14,38,19,2.5,780,2,medium
Chicken gyoza,Japanese,succeeded,,"1 serve (6 pieces, ~180g)",180,340,15.5,34,15.5,2,680,2,medium
Vegetable gyoza,Japanese,succeeded,,"1 serve (6 pieces, ~180g)",180,310,7.5,42,12,3.5,620,3,medium
Karaage chicken,Japanese,succeeded,,1 serve (~250g),250,590,32,30,38,1.5,950,3,medium
Tempura,Japanese,succeeded,,"1 serve (~200g, 6-8 pieces)",200,420,12,32,27,2.5,480,2,medium
Vegetable tempura,Japanese,succeeded,,1 serve (~200g),200,380,6.5,40,22,4,480,3.5,medium
Prawn tempura,Japanese,succeeded,,"1 serve (6 pieces, ~180g)",180,380,16,32,21,1,480,1.5,medium
Tempura udon,Japanese,succeeded,,1 bowl (~550g),550,550,20,78,17,4,1800,6,medium
Miso soup,Japanese,succeeded,,1 bowl (~250g),250,45,3.5,4.5,1.5,1.2,780,1.5,high
Edamame,Japanese,succeeded,,1 serve (~150g in pods),150,130,12,9,5.5,5,380,2,medium
Okonomiyaki,Japanese,succeeded,,1 whole pancake (~350g),350,550,22,42,31,4.5,1450,8,medium
Takoyaki,Japanese,succeeded,,"1 serve (6 pieces, ~180g)",180,330,12,38,14,1.5,780,5,medium
Onigiri,Japanese,succeeded,,1 piece (~100g),100,170,4.5,33,2.5,0.6,320,0.8,medium
Chicken teppanyaki,Japanese,succeeded,,1 serve (~400g),400,480,38,28,22,3.5,950,10,medium
Beef teppanyaki,Japanese,succeeded,,1 serve (~400g),400,480,36,20,27,3.5,950,8,medium
Donburi,Japanese,succeeded,,1 serve (~450g),450,620,28,82,17,3,980,12,medium
Chicken katsu don,Japanese,succeeded,,1 serve (~500g),500,850,38,100,30,3,1400,12,medium
Gyudon,Japanese,succeeded,,1 bowl (~500g),500,680,26,90,22,2,1400,12,high
Unagi don,Japanese,succeeded,,1 serve (~400g),400,620,28,80,20,1.5,900,18,medium
Tonkatsu,Japanese,succeeded,,1 serve (~250g cutlet with sauce),250,550,32,30,32,2,750,8,medium
Chicken karaage bowl,Japanese,succeeded,,1 serve (~450g),450,780,32,85,35,3.5,1150,10,medium
Salmon poke bowl,Japanese,succeeded,,1 bowl (~500g),500,620,32,70,22,6,950,10,medium
Tuna poke bowl,Japanese,succeeded,,1 bowl (~450g),450,550,32,65,18,6,900,10,medium
Bento box,Japanese,succeeded,LOW_CONFIDENCE,1 box (~500g),500,650,30,75,24,4,1200,12,low
Agedashi tofu,Japanese,succeeded,,"1 serve (~4 pieces, ~200g)",200,260,12,16,16,1.5,780,3,medium
Chawanmushi,Japanese,succeeded,,1 serve (~150g),150,90,8.5,4.5,3.8,0.3,380,1.2,medium
Japanese curry rice,Japanese,succeeded,,"1 serve (~450g, rice + curry with pork/chicken)",450,620,22,85,20,4.5,1100,10,medium
Beef curry Japanese style,Japanese,succeeded,,1 serve (~450g),450,620,25,78,22,5,1100,12,medium
Chirashi bowl,Japanese,succeeded,,1 bowl (~450g),450,620,32,85,14,3,980,9,medium
Spicy tuna roll,Japanese,succeeded,,"1 roll, 6-8 pieces (~250g)",250,380,15,55,11,2.5,620,6,medium
Dragon roll,Japanese,succeeded,,"1 roll (~8 pieces, ~250g)",250,380,12,58,11,3,620,9,medium
Rainbow roll,Japanese,succeeded,,"1 roll (~8 pieces, ~250g)",250,380,16,58,9,3,620,8,medium
Salmon avocado roll,Japanese,succeeded,,"1 roll, 6-8 pieces (~250g)",250,380,12,55,11,3.5,620,6,medium
Katsu sando,Japanese,succeeded,,1 sandwich (~280g),280,650,28,62,33,3,1100,12,medium
Wagyu beef bowl,Japanese,succeeded,,1 serve (~450g),450,720,32,85,26,3,980,12,medium
Matcha dessert,Japanese,succeeded,LOW_CONFIDENCE,1 slice/cup (~110g),110,320,5.5,34,18,1.5,120,24,low
Bibimbap,Korean,succeeded,,1 bowl (~550g),550,620,24,82,20,6,980,8,medium
Korean fried chicken,Korean,succeeded,,1 serve (~350g),350,850,45,55,48,1.5,1450,25,medium
Korean BBQ beef,Korean,succeeded,,1 serve (~300g),300,480,32,28,25,2,980,18,medium
Bulgogi,Korean,succeeded,,1 serve (~250g),250,430,28,18,26,1.5,980,12,medium
Kimchi jjigae,Korean,succeeded,,1 serve (~500g),500,380,22,16,24,3.5,1450,5,medium
Kimchi fried rice,Korean,succeeded,,1 serve (~400g),400,620,18,78,24,3.5,980,6,medium
Japchae,Korean,succeeded,,1 serve (~250g),250,340,8.5,52,11,2.5,680,9,medium
Korean spicy pork,Korean,succeeded,,1 serve (~350g),350,520,32,28,30,3.5,980,14,medium
Dak galbi,Korean,succeeded,,1 serve (~450g),450,620,42,45,28,5,1450,15,medium
Tteokbokki,Korean,succeeded,,1 serve (~350g),350,480,9.5,92,8,3.5,1450,24,medium
Korean corn dog,Korean,succeeded,,1 corn dog (~150g),150,420,12,45,22,1.5,620,12,medium
Sundubu jjigae,Korean,succeeded,,"1 serve (~500g including stone pot, served with rice separately)",450,380,24,15,24,3,1450,4,medium
Korean fried chicken wings,Korean,succeeded,,"1 serve (~350g, 8-10 wings)",350,820,42,55,48,1.5,1450,30,medium
Galbi,Korean,succeeded,,"1 serve (~300g, ~4-5 pieces)",300,620,42,22,40,0.5,1150,15,medium
Korean beef short ribs,Korean,succeeded,,1 serve (~300g),300,620,38,22,40,1,980,15,medium
Kimbap,Korean,succeeded,,1 roll (~250g),250,400,12,60,11,3.5,850,6,medium
Korean pancake,Korean,succeeded,,"1 serve (~250g, half pancake)",250,420,14,42,22,2.5,780,3,medium
Kimchi pancake,Korean,succeeded,,"1 serve (~200g, half pancake)",200,380,10.5,42,19,2.5,780,3.5,medium
Seafood pancake,Korean,succeeded,,1 serve (~300g),300,520,24,45,27,2.5,980,3,medium
Korean beef bulgogi bowl,Korean,succeeded,,1 bowl (~450g),450,620,34,68,22,4,980,16,medium
Korean spicy noodles,Korean,succeeded,LOW_CONFIDENCE,1 serve (~450g),450,620,18,88,21,4,1450,10,low
Jajangmyeon,Korean,succeeded,,1 serve (~600g),600,720,20,110,22,5,1400,15,medium
Korean cold noodles,Korean,succeeded,,1 serve (~550g),550,480,18,88,6.5,4.5,1450,20,medium
Naengmyeon,Korean,succeeded,,1 bowl (~600g),600,480,18,88,6,4,1400,14,medium
Korean fried tofu,Korean,succeeded,,1 serve (~300g),300,480,18,42,27,3,780,14,medium
Korean stir fried glass noodles,Korean,succeeded,,1 serve (~350g),350,420,9.5,62,15,3.5,780,10,medium
Doenjang jjigae,Korean,succeeded,,"1 serving (~400g including tofu, vegetables, broth)",400,220,14,15,11,4.5,1450,4,medium
Korean beef stew,Korean,succeeded,,1 serve (~400g),400,480,32,22,27,3,980,10,medium
Samgyeopsal,Korean,succeeded,,1 serve (~250g grilled pork belly with sides),250,680,38,8,55,2,780,2.5,medium
Korean grilled pork belly,Korean,succeeded,,1 serve (~300g),300,780,45,6,63,1.5,700,3,medium
Korean spicy chicken stew,Korean,succeeded,,1 serve (~450g),450,520,38,28,27,4,1450,10,medium
Dakbokkeumtang,Korean,succeeded,,1 serve (~500g),500,620,38,40,32,5,1450,10,medium
Korean seaweed soup,Korean,succeeded,,1 bowl (~350g),350,120,8.5,6,6.5,2,780,1.5,medium
Bibim guksu,Korean,succeeded,,1 serve (~400g),400,420,11,78,7,4.5,980,18,medium
Korean BBQ platter,Korean,succeeded,LOW_CONFIDENCE,1 serve (~500g),500,950,55,45,58,5,1800,20,low
Butter chicken,Indian & South Asian,succeeded,,"1 serve (~400g, sauce and chicken only, no rice)",400,520,32,14,38,2.5,850,8,medium
Dal curry,Indian & South Asian,succeeded,,1 serve (~300g),300,280,13.5,32,11,8.5,620,4,medium
Dal makhani,Indian & South Asian,succeeded,,1 serve (~250g),250,340,12,24,22,7,620,4.5,medium
Chicken tikka masala,Indian & South Asian,succeeded,,"1 serve (~400g, with sauce, no rice)",400,520,34,16,35,2.5,900,9,medium
Chicken korma,Indian & South Asian,succeeded,,1 serve (~350g),350,520,32,15,37,3,680,7,medium
Lamb rogan josh,Indian & South Asian,succeeded,,"1 serve (~350g, with sauce, no rice)",350,480,32,12,33,3,780,6,medium
Beef vindaloo,Indian & South Asian,succeeded,,1 serve (~400g),400,520,38,14,34,3,980,6,medium
Chicken vindaloo,Indian & South Asian,succeeded,,1 serve (~400g),400,480,34,14,31,3,980,6,medium
Palak paneer,Indian & South Asian,succeeded,,1 serve (~300g),300,380,14,14,29,5,620,5,medium
Paneer tikka,Indian & South Asian,succeeded,,"1 serve (~200g, ~6 skewered pieces)",200,380,16,12,29,2.5,520,5,medium
Paneer butter masala,Indian & South Asian,succeeded,,1 serve (~300g),300,450,12.5,20,35,3.5,680,9,medium
Saag paneer,Indian & South Asian,succeeded,,1 serve (~300g),300,380,14,14,29,5,620,5,medium
Chana masala,Indian & South Asian,succeeded,,1 serve (~350g),350,320,12.5,38,13,9.5,680,7,medium
Chickpea curry,Indian & South Asian,succeeded,,1 serve (~350g),350,340,12,34,17,9,620,7,medium
Aloo gobi,Indian & South Asian,succeeded,,1 serve (~250g),250,220,5,22,13,5.5,480,5,medium
Aloo paratha,Indian & South Asian,succeeded,,1 stuffed paratha (~120g),120,300,6.5,42,12,4.5,380,2,medium
Vegetable samosa,Indian & South Asian,succeeded,,2 samosas (~120g),120,300,5.5,34,16,3.5,420,2.5,medium
Chicken samosa,Indian & South Asian,succeeded,,2 pieces (~120g),120,290,10.5,26,16.5,2.2,420,1.5,medium
Biryani,Indian & South Asian,succeeded,,1 serve (~400g),400,620,28,72,24,4,980,6,medium
Chicken biryani,Indian & South Asian,succeeded,,1 serve (~400g),400,560,28,66,19,4,820,6,medium
Lamb biryani,Indian & South Asian,succeeded,,1 serve (~450g),450,650,32,68,27,4,950,6,medium
Vegetable biryani,Indian & South Asian,succeeded,,1 serve (~400g),400,520,11,78,17,7,780,8,medium
Tandoori chicken,Indian & South Asian,succeeded,,"1 serve (2 pieces, ~300g)",300,420,45,6,24,1,780,3,medium
Chicken tikka,Indian & South Asian,succeeded,,1 serve (~200g),200,330,38,6,17,1,620,3,medium
Seekh kebab,Indian & South Asian,succeeded,,2 skewers (~140g),140,320,24,4,23,1,480,1.5,medium
Lamb kofta,Indian & South Asian,succeeded,,4 skewers (~280g),280,480,32,8,35,1.5,620,2,medium
Naan bread,Indian & South Asian,succeeded,,1 piece (~90g),90,262,7.6,45,5.9,2,470,3,high
Garlic naan,Indian & South Asian,succeeded,,1 piece (~90g),90,280,7.5,42,9,2,420,3,medium
Cheese naan,Indian & South Asian,succeeded,,1 piece (~150g),150,420,13,55,16,2.5,620,4,medium
Roti,Indian & South Asian,succeeded,,1 piece (~90g),90,280,5.5,35,13.5,2,380,1,medium
Paratha,Indian & South Asian,succeeded,,1 piece (~90g),90,280,5.5,32,14.5,2,380,1,medium
Papadum,Indian & South Asian,succeeded,,4 pieces (~40g),40,180,8,24,6,4,620,1,medium
Raita,Indian & South Asian,succeeded,,1 serve (~100g),100,65,3,6.5,3,0.5,190,5.5,medium
Butter naan,Indian & South Asian,succeeded,,1 piece (~90g),90,280,6.9,40,10.5,1.8,420,3.5,medium
Chicken makhani,Indian & South Asian,succeeded,,1 serve (~350g),350,520,32,15,36,2.5,780,8,medium
Malai kofta,Indian & South Asian,succeeded,,"1 serve (~300g, 4 kofta with gravy)",300,480,11,30,35,4,680,12,medium
Dal tadka,Indian & South Asian,succeeded,,1 serve (~300g),300,280,12.5,30,13,7.5,620,3.5,medium
Rajma,Indian & South Asian,succeeded,,"1 serve (~300g, curry only)",300,280,12.5,30,12.5,9,620,5.5,medium
Mattar paneer,Indian & South Asian,succeeded,,1 serve (~300g),300,420,15,20,31,5,650,8,medium
Tandoori lamb chops,Indian & South Asian,succeeded,,"1 serve (4 chops, ~280g)",280,480,42,6,32,1,620,3,medium
Fish curry Indian style,Indian & South Asian,succeeded,,1 serve (~350g),350,380,26,12,25,2.5,780,5,medium
Goan fish curry,Indian & South Asian,succeeded,,"1 serve (~350g, with fish and gravy)",350,320,24,10,21,2.5,620,4.5,medium
Prawn curry Indian style,Indian & South Asian,succeeded,,1 serve (~350g),350,420,24,14,29,3,780,6,medium
Chicken jalfrezi,Indian & South Asian,succeeded,,1 serve (~400g),400,420,32,16,25,4,780,8,medium
Chicken saag,Indian & South Asian,succeeded,,1 serve (~350g),350,420,33,10,28,4.5,780,3.5,medium
Lamb curry,Indian & South Asian,succeeded,,1 serve (~350g),350,480,28,16,33,3,780,6,medium
Beef curry Indian style,Indian & South Asian,succeeded,,1 serve (~350g),350,480,30,14,32,3.5,780,5,medium
Mango lassi,Indian & South Asian,succeeded,,1 glass (~300ml),300,220,6.5,38,5.5,1,75,34,medium
Gulab jamun,Indian & South Asian,succeeded,,2 pieces (~90g) with syrup,90,300,4.5,42,13,0.4,90,35,medium
Jalebi,Indian & South Asian,succeeded,,4 pieces (~80g),80,300,2.8,48,11.5,0.4,40,38,medium
Samosa chaat,Indian & South Asian,succeeded,,1 serve (~300g),300,420,9.5,52,20,6.5,780,14,medium
Pani puri,Indian & South Asian,succeeded,,1 serve (6 puris),180,220,5,38,6,4,480,4,medium
Bhel puri,Indian & South Asian,succeeded,,1 serve (~150g),150,220,5.5,34,7.5,4.5,480,8,medium
Vada pav,Indian & South Asian,succeeded,,1 bun with potato patty (~120g),120,290,6.5,42,10.5,3.5,480,4,medium
Masala dosa,Indian & South Asian,succeeded,,1 serve (~250g),250,380,7.5,58,13,4.5,620,4,medium
Idli,Indian & South Asian,succeeded,,2 idlis (~120g),120,130,4.5,27,0.5,1.5,220,0.5,high
Sambar,Indian & South Asian,succeeded,,1 serve (~300g),300,180,8,25,6,6.5,620,6,medium
Uttapam,Indian & South Asian,succeeded,,"1 serve (~180g, 2 uttapam)",180,280,7,45,8,3,480,3,medium
Chicken 65,Indian & South Asian,succeeded,,1 serve (~250g),250,450,32,18,28,1.5,950,3,medium
Onion bhaji,Indian & South Asian,succeeded,,4 bhajis (~160g),160,380,8.5,32,24,5.5,480,5,medium
Vegetable pakora,Indian & South Asian,succeeded,,6 pieces (~150g),150,330,7.5,32,20,5.5,480,3.5,medium
Chicken pakora,Indian & South Asian,succeeded,,"1 serve (~6 pieces, ~180g)",180,420,26,24,25,3.5,620,2,medium
Aloo tikki,Indian & South Asian,succeeded,,"1 serve (2 patties, ~140g)",140,260,5,34,12,4,420,6,medium
Chole bhature,Indian & South Asian,succeeded,,"1 serve (2 bhature + chole, ~450g)",450,850,20,95,42,12,1300,8,medium
Kadhai chicken,Indian & South Asian,succeeded,,1 serve (~350g),350,420,30,14,27,3.5,780,6,medium
Butter paneer,Indian & South Asian,succeeded,,1 serve (~350g),350,520,15,22,40,3.5,780,10,medium
Egg curry,Indian & South Asian,succeeded,,1 serve (~350g),350,380,14.5,14,29,3,680,6,medium
Keema curry,Indian & South Asian,succeeded,,1 serve (~350g),350,480,28,14,34,3.5,780,5,medium
Mutton curry,Indian & South Asian,succeeded,,1 serve (~350g),350,480,28,14,34,3,780,5,medium
Chicken korma with rice,Indian & South Asian,succeeded,,1 serve (~450g),450,680,33,65,32,3.5,780,8,medium
Prawn biryani,Indian & South Asian,succeeded,,1 serve (~400g),400,560,24,74,17,3.5,980,6,medium
Egg biryani,Indian & South Asian,succeeded,,1 serve (~400g),400,620,18,78,26,4,780,6,medium
Hyderabadi biryani,Indian & South Asian,succeeded,,1 serve (~400g),400,620,28,68,26,4,980,6,medium
Rasam,Indian & South Asian,succeeded,,1 cup (~250ml),250,70,2.5,10,2.5,1.8,480,3,medium
Curry laksa Indian style,Indian & South Asian,succeeded,LOW_CONFIDENCE,1 bowl (~550g),550,620,26,55,34,4,1450,8,low
Chicken 65 dry,Indian & South Asian,succeeded,,1 serve (~250g),250,480,32,18,31,1.5,900,3,medium
Palak chicken,Indian & South Asian,succeeded,,1 serve (~350g),350,420,32,12,27,4.5,680,4,medium
Tandoori prawns,Indian & South Asian,succeeded,,"1 serve (~200g, 6-8 prawns with marinade)",200,260,32,6,12,1,620,3,medium
Malabar chicken curry,Indian & South Asian,succeeded,,1 serve (~350g),350,420,28,12,29,3,780,5,medium
Kerala fish curry,Indian & South Asian,succeeded,,1 serve (~300g),300,320,24,10,21,2,650,4,medium
Punjabi chole,Indian & South Asian,succeeded,,1 serve (~300g),300,330,12.5,35,15,9,700,6,medium
Amritsari fish,Indian & South Asian,succeeded,,"1 serve (~6 pieces, ~200g)",200,420,28,18,26,1.5,680,2,medium
Lahori chicken,Indian & South Asian,succeeded,,1 serve (~350g),350,480,34,14,32,3,780,5,medium
Sri Lankan chicken curry,Indian & South Asian,succeeded,,1 serve (~350g),350,420,28,12,28,3,620,5,medium
Sri Lankan dal curry,Indian & South Asian,succeeded,,1 serve (~200g),200,220,9.5,22,11,6,420,3,medium
Nepalese momos,Indian & South Asian,succeeded,,"1 serve (~10 pieces, ~300g)",300,480,24,58,16,3.5,820,4,medium
Shawarma plate,Middle Eastern & Mediterranean,succeeded,,1 plate (~450g),450,780,42,70,38,6,1300,8,medium
Chicken shawarma,Middle Eastern & Mediterranean,succeeded,,1 wrap (~350g),350,650,38,55,30,4,1100,6,medium
Lamb shawarma,Middle Eastern & Mediterranean,succeeded,,1 wrap (~350g),350,720,36,58,38,4.5,1150,6,medium
Beef shawarma,Middle Eastern & Mediterranean,succeeded,,1 wrap (~350g),350,720,38,62,34,4.5,1350,7,medium
Falafel plate,Middle Eastern & Mediterranean,succeeded,,1 plate (~450g),450,620,19,62,33,12,980,8,medium
Hummus with pita,Middle Eastern & Mediterranean,succeeded,,"1 serve (~180g, dip + bread)",180,420,12.5,45,21,6.5,620,2.5,medium
Baba ganoush,Middle Eastern & Mediterranean,succeeded,,1 serve (~100g),100,170,3.5,8,14,4.5,300,3,medium
Tabouli,Middle Eastern & Mediterranean,succeeded,,1 serve (~150g),150,180,3.5,15,12.5,4,250,3,medium
Fattoush salad,Middle Eastern & Mediterranean,succeeded,,1 serve (~250g),250,220,4.5,20,14,5,420,6,medium
Moussaka,Middle Eastern & Mediterranean,succeeded,,1 serve (~400g),400,520,24,24,36,5,680,9,medium
Greek salad,Middle Eastern & Mediterranean,succeeded,,1 serve (~300g),300,280,6.5,10,24,3.5,720,6,medium
Souvlaki,Middle Eastern & Mediterranean,succeeded,,1 wrap (~350g),350,620,34,55,29,4,980,6,medium
Chicken souvlaki,Middle Eastern & Mediterranean,succeeded,,1 wrap (~350g),350,620,38,52,28,4,980,6,medium
Lamb souvlaki,Middle Eastern & Mediterranean,succeeded,,1 wrap (~350g),350,650,34,55,33,4,980,7,medium
Gyros,Middle Eastern & Mediterranean,succeeded,,1 wrap (~350g),350,650,32,55,33,4,1150,6,medium
Kebab plate,Middle Eastern & Mediterranean,succeeded,,1 serve (~500g),500,850,40,75,44,5,1400,8,medium
Doner kebab,Middle Eastern & Mediterranean,succeeded,,1 kebab (~400g),400,780,34,74,40,5,1450,9,medium
Lamb kofta kebab,Middle Eastern & Mediterranean,succeeded,,1 kebab wrap (~350g),350,650,32,55,33,4.5,980,7,medium
Chicken kofta,Middle Eastern & Mediterranean,succeeded,,4 koftas (~200g),200,380,28,8,26,1.5,620,2.5,medium
Baklava,Middle Eastern & Mediterranean,succeeded,,1 piece (~60g),60,250,3.5,28,15,1.2,90,18,medium
Spanakopita,Middle Eastern & Mediterranean,succeeded,,2 triangles (~150g),150,340,10.5,22,23,2.5,560,2,medium
Dolmades,Middle Eastern & Mediterranean,succeeded,,6 pieces (~180g),180,260,4.5,30,14,3.5,480,2,medium
Halloumi salad,Middle Eastern & Mediterranean,succeeded,,1 serve (~300g),300,420,16.5,18,30,4.5,850,8,medium
Grilled halloumi,Middle Eastern & Mediterranean,succeeded,,1 serve (~120g),120,370,24,3,29,0,1450,1,medium
Lamb tagine,Middle Eastern & Mediterranean,succeeded,,1 serve (~400g),400,480,32,24,27,5,780,12,medium
Chicken tagine,Middle Eastern & Mediterranean,succeeded,,1 serve (~400g),400,420,32,24,20,5,780,10,medium
Couscous salad,Middle Eastern & Mediterranean,succeeded,,1 serve (~200g),200,290,7,34,13,4,380,5,medium
Falafel wrap Mediterranean,Middle Eastern & Mediterranean,succeeded,,1 wrap (~350g),350,620,19,68,31,8.5,980,7,medium
Turkish pide,Middle Eastern & Mediterranean,succeeded,,1 whole pide (~300g),300,780,32,95,30,5,1300,6,medium
Lahmacun,Middle Eastern & Mediterranean,succeeded,,1 piece (~150g),150,340,15,42,12,2.5,620,4,medium
Turkish pizza,Middle Eastern & Mediterranean,succeeded,,1 whole pide (~300g),300,780,32,92,32,5,1350,6,medium
Adana kebab,Middle Eastern & Mediterranean,succeeded,,"1 serve (~350g, with flatbread and salad)",350,620,32,45,34,4,980,5,medium
Turkish delight,Middle Eastern & Mediterranean,succeeded,,4 pieces (~80g),80,270,0.3,67,0.1,0.2,5,55,medium
Manakeesh,Middle Eastern & Mediterranean,succeeded,,1 whole flatbread (~150g),150,420,10.5,55,17.5,3.5,620,1.5,medium
Zaatar bread,Middle Eastern & Mediterranean,succeeded,,1 flatbread (~150g),150,420,9,50,20,4,620,1.5,medium
Labneh,Middle Eastern & Mediterranean,succeeded,,1 serve (~100g) with olive oil drizzle,100,150,6.5,4.5,12.5,0,320,4,medium
Muhammara,Middle Eastern & Mediterranean,succeeded,,1 serve as dip (~60g),60,165,3,8,14,2.2,220,4,medium
Mujadara,Middle Eastern & Mediterranean,succeeded,,1 serve (~300g),300,420,13.5,62,13,9,480,6,medium
Shakshuka Middle Eastern style,Middle Eastern & Mediterranean,succeeded,,"1 serve (~350g, 2 eggs with tomato pepper sauce)",350,320,16.5,16,21,4.5,780,10,medium
Kibbeh,Middle Eastern & Mediterranean,succeeded,,4 pieces (~160g),160,380,16,28,22,3.5,480,2,medium
Fattet hummus,Middle Eastern & Mediterranean,succeeded,,1 serve (~350g),350,480,16,44,28,8,780,4,medium
Grilled lamb chops,Middle Eastern & Mediterranean,succeeded,,3 chops (~300g),300,610,48,1.5,45,0,480,0.5,medium
Persian chicken kebab,Middle Eastern & Mediterranean,succeeded,,1 skewer serve (~300g),300,480,42,6,31,1,620,3,medium
Persian rice,Middle Eastern & Mediterranean,succeeded,,1 serve (~250g),250,380,7.5,65,10.5,3,420,12,medium
Lebanese rice,Middle Eastern & Mediterranean,succeeded,,1 serve (~200g),200,300,8.5,45,9.5,1.8,380,1,medium
Kofta with rice,Middle Eastern & Mediterranean,succeeded,,1 serve (~400g),400,620,28,60,30,4,780,6,medium
Sujuk,Middle Eastern & Mediterranean,succeeded,,"1 serve, 3-4 slices (~100g)",100,310,18,3,25,0.5,850,1,medium
